match_id,modelo,modelo_ganador_global,date,stage,group,home_team,away_team,lambda_home,lambda_away,factor_contexto_home,factor_contexto_away,prob_home_win,prob_draw,prob_away_win,prob_home_win_percent,prob_draw_percent,prob_away_win_percent,predicted_class
1,Ridge,True,2026-06-11,Group Stage,A,Mexico,South Africa,2.2088363148563244,0.8454708791827519,1.1025,1.1025,0.6769351125633106,0.20012518533439289,0.12293970210229656,67.69351125633106,20.012518533439287,12.293970210229656,H
2,Ridge,True,2026-06-11,Group Stage,A,South Korea,Czech Republic,2.0249867865899565,1.2438035252390942,1.1025,1.1025,0.5467991744524883,0.22947453175646987,0.2237262937910419,54.679917445248826,22.947453175646988,22.37262937910419,H
3,Ridge,True,2026-06-12,Group Stage,B,Canada,Bosnia and Herzegovina,2.095053415827418,1.0661229687313356,1.1025,1.1025,0.6022302780270221,0.22021758580948664,0.1775521361634914,60.22302780270221,22.021758580948664,17.75521361634914,H
4,Ridge,True,2026-06-12,Group Stage,D,United States,Paraguay,2.073261528941915,0.9567388063094547,1.1025,1.1025,0.6234524865001423,0.21896145312560178,0.15758606037425582,62.34524865001423,21.89614531256018,15.758606037425583,H
5,Ridge,True,2026-06-13,Group Stage,B,Qatar,Switzerland,0.7534278677286785,1.8740574219447323,1.1025,1.1025,0.1356947625209246,0.23284110028696262,0.6314641371921128,13.56947625209246,23.28411002869626,63.14641371921128,A
6,Ridge,True,2026-06-13,Group Stage,C,Brazil,Morocco,1.6445165678493672,1.2179993679240018,1.1025,1.1025,0.4642379151357676,0.2616519461653237,0.27411013869890855,46.42379151357676,26.16519461653237,27.411013869890855,H
7,Ridge,True,2026-06-13,Group Stage,C,Haiti,Scotland,1.0425708858975853,1.8509583570603878,1.1025,1.1025,0.2022865144685908,0.24343919397046393,0.5542742915609451,20.228651446859082,24.343919397046392,55.42742915609451,A
8,Ridge,True,2026-06-14,Group Stage,D,Australia,Turkey,2.03291829715305,1.0683682658523372,1.1025,1.1025,0.5885757388892103,0.22616423763102544,0.18526002347976417,58.85757388892103,22.616423763102546,18.526002347976416,H
9,Ridge,True,2026-06-14,Group Stage,E,Germany,Curacao,3.2920737536053215,0.6301317903273044,1.1025,1.1025,0.8682713140764644,0.09498389099997367,0.036744794923561974,86.82713140764645,9.498389099997368,3.6744794923561974,H
10,Ridge,True,2026-06-14,Group Stage,F,Netherlands,Japan,2.3891798802441935,1.150585690721117,1.1025,1.1025,0.6412075844070453,0.1965131808834739,0.1622792347094809,64.12075844070453,19.651318088347388,16.22792347094809,H
11,Ridge,True,2026-06-14,Group Stage,E,Ivory Coast,Ecuador,1.2351860598056439,1.1269801525245486,1.1025,1.1025,0.3765572830483428,0.2997050481689342,0.3237376687827229,37.65572830483428,29.970504816893417,32.37376687827229,H
12,Ridge,True,2026-06-14,Group Stage,F,Sweden,Tunisia,1.832749571433907,1.7142301146965675,1.1025,1.1025,0.4064695608199703,0.23531933802425242,0.35821110115577737,40.64695608199703,23.531933802425243,35.82111011557774,H
13,Ridge,True,2026-06-15,Group Stage,H,Spain,Cape Verde,3.352535264420465,0.7803188833556018,1.1025,1.1025,0.8492099834776453,0.1023471127197798,0.04844290380257491,84.92099834776454,10.234711271977979,4.844290380257491,H
14,Ridge,True,2026-06-15,Group Stage,G,Belgium,Egypt,2.383027691559491,0.9739047189017014,1.1025,1.1025,0.6793349227335832,0.1897435618129119,0.1309215154535049,67.93349227335833,18.974356181291192,13.09215154535049,H
15,Ridge,True,2026-06-15,Group Stage,H,Saudi Arabia,Uruguay,0.24039642121677368,1.7659388814455959,1.1025,1.1025,0.03996344563814506,0.20707782452387266,0.7529587298379824,3.996344563814506,20.707782452387267,75.29587298379823,A
16,Ridge,True,2026-06-15,Group Stage,G,Iran,New Zealand,2.291398380721799,0.8889862532254781,1.1025,1.1025,0.6820990770773697,0.19415089841395639,0.12375002450867391,68.20990770773697,19.415089841395638,12.375002450867392,H
17,Ridge,True,2026-06-16,Group Stage,I,France,Senegal,2.267826912723955,1.2075205327428258,1.1025,1.1025,0.6053403757295304,0.20845402535548632,0.18620559891498334,60.53403757295304,20.845402535548633,18.620559891498335,H
18,Ridge,True,2026-06-16,Group Stage,I,Iraq,Norway,1.0017420041083542,2.266464661086395,1.1025,1.1025,0.14677781624636635,0.20183909573245523,0.6513830880211784,14.677781624636635,20.183909573245522,65.13830880211783,A
19,Ridge,True,2026-06-16,Group Stage,J,Argentina,Algeria,2.4565798606602014,0.5906353741885005,1.1025,1.1025,0.7787269085351718,0.15699363107124562,0.06427946039358255,77.87269085351718,15.699363107124562,6.427946039358255,H
20,Ridge,True,2026-06-17,Group Stage,J,Austria,Jordan,2.626451670343863,0.7507822301927692,1.1025,1.1025,0.7682734625682538,0.15391393677612822,0.07781260065561793,76.82734625682538,15.391393677612822,7.781260065561793,H
21,Ridge,True,2026-06-17,Group Stage,K,Portugal,DR Congo,2.638842978395056,0.9722987225910047,1.1025,1.1025,0.7228956677070302,0.16712214781787027,0.10998218447509943,72.28956677070302,16.712214781787026,10.998218447509943,H
22,Ridge,True,2026-06-17,Group Stage,L,England,Croatia,2.3439713558949404,1.0018620234912432,1.1025,1.1025,0.6659147446425528,0.19463697094315,0.13944828441429707,66.59147446425528,19.463697094315,13.944828441429708,H
23,Ridge,True,2026-06-17,Group Stage,L,Ghana,Panama,1.2225372457139467,1.513292506959938,1.1025,1.1025,0.2974729747197592,0.27230992993901076,0.4302170953412301,29.74729747197592,27.230992993901076,43.02170953412301,A
24,Ridge,True,2026-06-17,Group Stage,K,Uzbekistan,Colombia,0.7238339944791489,1.7900264835899227,1.1025,1.1025,0.13769834250639862,0.24194095903904436,0.6203606984545571,13.769834250639862,24.194095903904437,62.036069845455714,A
25,Ridge,True,2026-06-18,Group Stage,A,Czech Republic,South Africa,2.140845972952844,1.3601641565633675,1.1550000000000002,1.1550000000000002,0.5460744564486774,0.2210324168943833,0.2328931266569395,54.60744564486774,22.10324168943833,23.289312665693952,H
